countyFIPS,county_name,population_2018,stateCode,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020
12011,"Broward County, Florida",1951260,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10249787316913174,0.10249787316913174,0.20499574633826348,0.20499574633826348,0.3587425560919611,0.5637383024302246,1.0249787316913173,1.8449617170443713,1.8449617170443713,1.9987085267980689,2.8186915121511227,4.099914926765269,4.919897912118323,7.738589424269446,8.404825599868804,11.121019238850794,13.478470321740822,15.938419277799985,21.114561872841136,25.880712975205764
12013,"Calhoun County, Florida",14587,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12015,"Charlotte County, Florida",184998,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,0.5405463842852355,1.081092768570471,1.081092768570471,1.081092768570471,1.6216391528557066,1.6216391528557066,1.6216391528557066,0.0
12017,"Citrus County, Florida",147929,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759999729600011,0.6759999729600011,0.6759999729600011,1.3519999459200023,2.027999918880003,2.027999918880003,4.731999810720008,5.407999783680009,5.407999783680009,6.08399975664001,6.08399975664001,6.08399975664001,2.7039998918400046
12019,"Clay County, Florida",216072,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4628086933984968,0.4628086933984968,0.4628086933984968,0.4628086933984968,0.4628086933984968,1.3884260801954904,1.3884260801954904,1.8512347735939871,1.8512347735939871,1.8512347735939871,2.314043466992484,2.776852160390981,3.2396608537894775,3.7024695471879743,4.628086933984968,7.4049390943759485,5.090895627383465
12021,"Collier County, Florida",378488,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.792627507345015,0.792627507345015,0.792627507345015,0.792627507345015,1.321045845575025,1.321045845575025,1.58525501469003,1.849464183805035,3.4347191984950642,4.755765044070089,7.133647566105134,7.39785673522014,8.718902580795163,10.304157595485194,10.832575933715203,15.059922639555284,5.2841833823001
12023,"Columbia County, Florida",70503,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.418379359743557,1.418379359743557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.836758719487114,2.836758719487114,4.255138079230671,4.255138079230671,95.03141710281832
12027,"DeSoto County, Florida",37489,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6674491184080664,2.6674491184080664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6674491184080664,2.6674491184080664,2.6674491184080664,10.669796473632266,8.002347355224199
12029,"Dixie County, Florida",16700,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12031,"Duval County, Florida",950181,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10524310631342872,0.10524310631342872,0.10524310631342872,0.10524310631342872,0.42097242525371487,0.42097242525371487,0.5262155315671435,1.052431063134287,1.4734034883880018,1.5786465947014308,1.5786465947014308,2.631077657835718,4.104481146223719,5.262155315671436,5.262155315671436,6.314586378805723,6.314586378805723
12033,"Escambia County, Florida",315534,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31692305742011956,0.31692305742011956,0.0,0.0,0.0,0.31692305742011956,0.31692305742011956,0.31692305742011956,0.31692305742011956,0.31692305742011956,0.31692305742011956,1.2676922296804782,2.852307516781076,3.1692305742011957,5.387691976142032,6.338461148402391
12035,"Flagler County, Florida",112067,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923233422863109,0.8923233422863109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923233422863109,2.6769700268589327,3.5692933691452438,5.353940053717865,7.1385867382904875
12037,"Franklin County, Florida",11736,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12039,"Gadsden County, Florida",45894,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1789340654551794,0.0,0.0,0.0,0.0,0.0,0.0,2.1789340654551794,2.1789340654551794,2.1789340654551794,2.1789340654551794,2.1789340654551794,2.1789340654551794,2.1789340654551794,2.1789340654551794,2.1789340654551794
12041,"Gilchrist County, Florida",18256,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12043,"Glades County, Florida",13724,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12045,"Gulf County, Florida",16164,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12047,"Hamilton County, Florida",14310,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12049,"Hardee County, Florida",27245,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12051,"Hendry County, Florida",41556,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12053,"Hernando County, Florida",190865,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5239305268121447,2.6196526340607234,2.6196526340607234,2.6196526340607234,2.6196526340607234,2.6196526340607234,4.1914442144971575,4.715374741309303
12055,"Highlands County, Florida",105424,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9485506146607984,0.9485506146607984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9485506146607984,1.8971012293215967,3.7942024586431935,4.742753073303991,4.742753073303991
12057,"Hillsborough County, Florida",1436888,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06959484664079595,0.06959484664079595,0.06959484664079595,0.06959484664079595,0.06959484664079595,0.06959484664079595,0.06959484664079595,0.06959484664079595,0.06959484664079595,0.1391896932815919,0.1391896932815919,0.1391896932815919,0.2783793865631838,0.2783793865631838,0.3479742332039797,0.6263536197671634,0.9743278529711432,1.3918969328159188,2.9229835589134296,3.270957792117409,4.036501105166164,5.2196134980596955,6.333131044312431,8.560166136817902,10.508821842760188
12059,"Holmes County, Florida",19477,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12061,"Indian River County, Florida",157413,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6352715468226894,0.6352715468226894,3.176357734113447,5.082172374581515,6.352715468226894,6.987987015049583,7.623258561872273,8.89380165551765
12063,"Jackson County, Florida",48305,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0701790704895973,2.0701790704895973,2.0701790704895973,2.0701790704895973,2.0701790704895973,2.0701790704895973,2.0701790704895973,2.0701790704895973
12065,"Jefferson County, Florida",14288,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12067,"Lafayette County, Florida",8732,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12069,"Lake County, Florida",356495,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2805088430412769,0.2805088430412769,0.0,0.0,0.0,0.2805088430412769,0.2805088430412769,0.5610176860825538,0.8415265291238306,1.1220353721651075,1.1220353721651075,1.6830530582476613,2.524579587371492,3.9271238025778765,6.171194546908091,7.293229919073199
12071,"Lee County, Florida",754610,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2650375690754164,0.2650375690754164,0.2650375690754164,0.2650375690754164,0.39755635361312464,0.5300751381508328,0.5300751381508328,0.6625939226885411,0.6625939226885411,0.5300751381508328,0.9276314917639575,1.4577066299147903,1.4577066299147903,1.855262983527915,2.2528193371410397,3.4454883979804136,3.9755635361312467,4.240601105206663,6.890976795960827,8.746239779488743
12073,"Leon County, Florida",292502,FL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3418780042529624,0.3418780042529624,0.0,0.0,0.0,0.0,0.0,0.3418780042529624,1.3675120170118495,1.3675120170118495,1.3675120170118495,1.7093900212648119,2.051268025517774,2.735024034023699,2.735024034023699,4.444414055288511
12075,"Levy County, Florida",40770,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12077,"Liberty County, Florida",8457,FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
